gempId,title,rarity,imageUrl
1_71,"Darth Maul, Sith Apprentice",rare,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/71darthmaulsithapprentice.gif
1_72,"Darth Sidious, Sith Master",rare,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/72darthsidioussithmaster.gif
1_73,"Sebulba, Bad-Tempered Dug",rare,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/73sebulbabadtempereddug.gif
1_74,"Watto, Slave Owner",rare,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/74wattoslaveowner.gif
1_75,"Aurra Sing, Bounty Hunter",rare,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/75aurrasingbountyhunter.gif
1_76,"Jabba the Hutt, Vile Crime Lord",rare,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/76jabbathehutvilecrimelord.gif
1_77,"Gardulla the Hutt, Crime Lord",uncommon,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/77gardullathehutcrimelord.gif
1_78,"Destroyer Droid Squad, Security Division",rare,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/78destroyerdroidsquad.gif
1_79,"Battle Droid Squad, Assault Unit",rare,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/79battledroidsquadassault.gif
1_80,"Ben Quadinaros, Podracer Pilot",uncommon,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/80benquadinarospodracer.gif
1_81,"Gasgano, Podracer Pilot",uncommon,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/81gasganpodracerpilot.gif
1_82,"Mawhonic, Podracer Pilot",uncommon,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/82mawhonicpodracerpilot.gif
1_83,"Teemto Pagalies, Podracer Pilot",uncommon,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/83teemtopagaliespodracer.gif
1_84,"Bib Fortuna, Twi'lek Advisor",uncommon,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/84bibfortunatwilekadvisor.gif
1_85,"Ann and Tann Gella, Sebulba's Attendants",uncommon,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/85annandtanngella.gif
1_86,"Gragra, Chuba Peddler",common,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/86gragrachubapeddler.gif
1_87,"Passel Argente, Senator",common,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/87passelargentesenator.gif
1_88,"Trade Federation Tank, Armored Division",rare,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/88tradefederationtank.gif
1_89,"Destroyer Droid, Wheel Droid",common,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/89destroyerdroidwheeldroid.gif
1_90,"Destroyer Droid, Defense Droid",common,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/90destroyerdroiddefense.gif
1_91,"Sith Probe Droid, Spy Drone",common,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/91sithprobedroidspydrone.gif
1_92,"Pit Droid, Engineer",common,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/92pitdroidengineer.gif
1_93,"Pit Droid, Heavy Lifter",common,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/93pitdroidheavylifter.gif
1_94,"Pit Droid, Mechanic",common,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/94pitdroidmechanic.gif
1_95,"Tusken Raider, Nomad",common,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/95tuskenraidernomad.gif
1_96,"Tusken Raider, Marksman",common,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/96tuskenraidermarksman.gif
1_97,"Battle Droid: Pilot, MTT Division",common,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/97battledroidpilotmtt.gif
1_98,"Battle Droid: Security, MTT Division",common,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/98battledroidsecuritymtt.gif
1_99,"Battle Droid: Infantry, MTT Division",common,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/99battledroidinfantrymtt.gif
1_100,"Battle Droid: Officer, MTT Division",common,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/100battledroidofficermtt.gif
1_101,"Battle Droid: Pilot, AAT Division",common,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/101battledroidpilotaat.gif
1_102,"Battle Droid: Security, AAT Division",common,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/102battledroidsecurityaat.gif
1_103,"Battle Droid: Infantry, AAT Division",common,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/103battledroidinfantryaat.gif
1_104,"Battle Droid: Officer, AAT Division",common,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/104battledroidofficeraat.gif
1_105,"Neimoidian, Trade Federation Pilot",starter set,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/105neimoidiantrade.gif
1_106,"Darth Maul, Sith Lord",starter set,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/106darthmaulsithlord.gif
1_1,"Obi-Wan Kenobi, Young Jedi",rare,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/light/1obiwankenobiyoungjedi.gif
1_2,"Qui-Gon Jinn, Jedi Master",rare,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/light/2quigonjinnjedimaster.gif
1_3,"Jar Jar Binks, Gungan Chuba Thief",rare,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/light/3jarjarbinksgunganchuba.gif
1_4,"Anakin Skywalker, Podracer Pilot",rare,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/light/4anakinskywalkerpodracer.gif
1_5,"Padmé Naberrie, Handmaiden",rare,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/light/5padmenaberriehandmaiden.gif
