gempId,title,rarity,imageUrl
3_130,Da Dug Chaaa!,uncommon,https://res.starwarsccg.org/youngjedi/cards/battleofnaboo/dark/130dadugchaaa.gif
3_131,Sando Aqua Monster,common,https://res.starwarsccg.org/youngjedi/cards/battleofnaboo/dark/131sandoaquamonster.gif
3_132,They Will Not Stay Hidden For Long,common,https://res.starwarsccg.org/youngjedi/cards/battleofnaboo/dark/132theywillnotstayhiddenfo.gif
3_133,This Is Too Close!,uncommon,https://res.starwarsccg.org/youngjedi/cards/battleofnaboo/dark/133thisistooclose.gif
3_59,Bombad General,uncommon,https://res.starwarsccg.org/youngjedi/cards/battleofnaboo/light/59bombadgeneral.gif
3_60,Kiss Your Trade Franchise Goodbye,uncommon,https://res.starwarsccg.org/youngjedi/cards/battleofnaboo/light/60kissyourtradefranchisegoo.gif
3_61,There's Always A Bigger Fish,common,https://res.starwarsccg.org/youngjedi/cards/battleofnaboo/light/61theresalwaysabiggerfish.gif
3_62,Uh-Oh!,common,https://res.starwarsccg.org/youngjedi/cards/battleofnaboo/light/62uhoh.gif
3_63,We Wish To Form An Alliance,common,https://res.starwarsccg.org/youngjedi/cards/battleofnaboo/light/63wewishtoformanalliance.gif
5_55,Blockade,uncommon,https://res.starwarsccg.org/youngjedi/cards/duelofthefates/dark/blockade.gif
5_56,End This Pointless Debate,uncommon,https://res.starwarsccg.org/youngjedi/cards/duelofthefates/dark/endthispointlessdebate.gif
5_57,The Duel Begins,uncommon,https://res.starwarsccg.org/youngjedi/cards/duelofthefates/dark/theduelbegins.gif
5_58,The Jedi Are Involved,uncommon,https://res.starwarsccg.org/youngjedi/cards/duelofthefates/dark/thejediareinvolved.gif
5_59,Where Are Those Droidekas?,uncommon,https://res.starwarsccg.org/youngjedi/cards/duelofthefates/dark/wherearethosedroidekas.gif
5_23,Gungan Energy Shield,uncommon,https://res.starwarsccg.org/youngjedi/cards/duelofthefates/light/gunganenergyshield.gif
5_24,He Can See Things Before They Happen,uncommon,https://res.starwarsccg.org/youngjedi/cards/duelofthefates/light/hecanseethings.gif
5_25,Jedi Meditation,uncommon,https://res.starwarsccg.org/youngjedi/cards/duelofthefates/light/jedimeditation.gif
5_26,Jedi Training,uncommon,https://res.starwarsccg.org/youngjedi/cards/duelofthefates/light/jeditraining.gif
5_27,Naboo Royal Security Forces,uncommon,https://res.starwarsccg.org/youngjedi/cards/duelofthefates/light/nabooroyalsecurityforces.gif
5_28,Pounded Unto Death,common,https://res.starwarsccg.org/youngjedi/cards/duelofthefates/light/poundeduntodeath.gif
5_29,Senate Guard,uncommon,https://res.starwarsccg.org/youngjedi/cards/duelofthefates/light/senateguard.gif
8_56,All-Out Attack,uncommon,https://res.starwarsccg.org/youngjedi/cards/boontaevepodrace/dark/56alloutattack.jpg
8_57,Eventually You'll Lose,uncommon,https://res.starwarsccg.org/youngjedi/cards/boontaevepodrace/dark/57eventuallyyoulllose.jpg
8_58,Gangster's Paradise,uncommon,https://res.starwarsccg.org/youngjedi/cards/boontaevepodrace/dark/58gangstersparadise.jpg
