gempId,title,rarity,imageUrl
3_F11,"Aurra Sing, Mercenary",ultra-rare foil,https://res.starwarsccg.org/youngjedi/cards/missing_image.png
3_F12,"Nute Gunray, Neimoidian Despot",super-rare foil,https://res.starwarsccg.org/youngjedi/cards/missing_image.png
3_F13,"Destroyer Droid Squad, Guard Division",super-rare foil,https://res.starwarsccg.org/youngjedi/cards/missing_image.png
3_F14,"Trade Federation Tank, Guard Division",super-rare foil,https://res.starwarsccg.org/youngjedi/cards/missing_image.png
3_F15,"Battle Droid Squad, Guard Unit",very rare foil,https://res.starwarsccg.org/youngjedi/cards/missing_image.png
3_F16,"Trade Federation Tank, Patrol Division",very rare foil,https://res.starwarsccg.org/youngjedi/cards/missing_image.png
3_F17,Darth Maul's Lightsaber,very rare foil,https://res.starwarsccg.org/youngjedi/cards/missing_image.png
3_F18,Not For A Sith,very rare foil,https://res.starwarsccg.org/youngjedi/cards/missing_image.png
3_F1,"Obi-Wan Kenobi, Jedi Knight",ultra-rare foil,https://res.starwarsccg.org/youngjedi/cards/missing_image.png
3_F2,"Qui-Gon Jinn, Jedi Ambassador",ultra-rare foil,https://res.starwarsccg.org/youngjedi/cards/missing_image.png
3_F3,"Queen Amidala, Keeper of the Peace",super-rare foil,https://res.starwarsccg.org/youngjedi/cards/missing_image.png
3_F4,"Yoda, Jedi Elder",super-rare foil,https://res.starwarsccg.org/youngjedi/cards/missing_image.png
3_F5,"R2-D2, The Queen's Hero",super-rare foil,https://res.starwarsccg.org/youngjedi/cards/missing_image.png
3_F6,"Queen Amidala, Resolute Negotiator",very rare foil,https://res.starwarsccg.org/youngjedi/cards/missing_image.png
3_F7,Mace Windu's Lightsaber,very rare foil,https://res.starwarsccg.org/youngjedi/cards/missing_image.png
3_F8,The Will Of The Force,very rare foil,https://res.starwarsccg.org/youngjedi/cards/missing_image.png
3_F9,"Amidala's Starship, Royal Transport",very rare foil,https://res.starwarsccg.org/youngjedi/cards/missing_image.png
