gempId,title,rarity,imageUrl
1_135,Tatooine • Desert Landing Site,starter set,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/135tatooinedesertlanding.gif
1_136,Coruscant • Jedi Council Chamber,starter set,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/136coruscantjedicouncil.gif
1_137,Naboo • Gungan Swamp,starter set,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/137naboogunganswamp.gif
1_65,Tatooine • Podrace Arena,starter set,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/light/65tatooinepodracearena.gif
1_66,Coruscant • Capital City,starter set,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/light/66coruscantcapitalcity.gif
1_67,Naboo • Theed Palace,starter set,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/light/67nabootheedpalace.gif
2_135,Tatooine Podrace Arena,starter set,https://res.starwarsccg.org/youngjedi/cards/thejedicouncil/dark/135tatooinepodracearena.gif
2_136,Coruscant Galactic Senate,starter set,https://res.starwarsccg.org/youngjedi/cards/thejedicouncil/dark/136coruscantgalacticsenate.gif
2_137,Naboo Battle Plains,starter set,https://res.starwarsccg.org/youngjedi/cards/thejedicouncil/dark/137naboobattleplains.gif
2_65,Tatooine Mos Espa,starter set,https://res.starwarsccg.org/youngjedi/cards/thejedicouncil/light/65tatooinemosespa.gif
2_66,Coruscant Jedi Council Chamber,starter set,https://res.starwarsccg.org/youngjedi/cards/thejedicouncil/light/66coruscantjedicouncil.gif
2_67,Naboo Gungan Swamp,starter set,https://res.starwarsccg.org/youngjedi/cards/thejedicouncil/light/67naboogunganswamp.gif
3_134,Tatooine • Mos Espa,starter set,https://res.starwarsccg.org/youngjedi/cards/battleofnaboo/dark/134tatooinemosespa.gif
3_135,Coruscant • Capital City,starter set,https://res.starwarsccg.org/youngjedi/cards/battleofnaboo/dark/135coruscantcapitalcity.gif
3_136,Naboo • Theed Palace,starter set,https://res.starwarsccg.org/youngjedi/cards/battleofnaboo/dark/136nabootheedpalace.gif
3_64,Tatooine • Desert Landing Site,starter set,https://res.starwarsccg.org/youngjedi/cards/battleofnaboo/light/64tatooinedesertlandingsite.gif
3_65,Coruscant • Galactic Senate,starter set,https://res.starwarsccg.org/youngjedi/cards/battleofnaboo/light/65coruscantgalacticsenate.gif
3_66,Naboo • Battle Plains,starter set,https://res.starwarsccg.org/youngjedi/cards/battleofnaboo/light/66naboobattleplains.gif
