gempId,title,rarity,imageUrl
1_139,Droid Starfighter,common,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/139droidstarfighter.gif
1_140,"Battleship, Trade Federation Transport",common,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/140battleshiptrade.gif
1_68,"Bravo 1, Naboo Starfighter",uncommon,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/light/68bravo1naboostarfighter.gif
1_69,Naboo Starfighter,common,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/light/69naboostarfighter.gif
1_70,"Republic Cruiser, Transport",common,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/light/70republiccruisertransport.gif
2_138,"Sith Infiltrator, Starfighter",uncommon,https://res.starwarsccg.org/youngjedi/cards/thejedicouncil/dark/138sithinfiltratorstar.gif
2_139,Droid Starfighter,common,https://res.starwarsccg.org/youngjedi/cards/thejedicouncil/dark/139droidstarfighter.gif
2_140,"Battleship, Trade Federation Transport",common,https://res.starwarsccg.org/youngjedi/cards/thejedicouncil/dark/140battleshiptrade.gif
2_68,"Bravo 2, Naboo Starfighter",uncommon,https://res.starwarsccg.org/youngjedi/cards/thejedicouncil/light/68bravo2naboostarfighter.gif
2_69,Naboo Starfighter,common,https://res.starwarsccg.org/youngjedi/cards/thejedicouncil/light/69naboostarfighter.gif
2_70,"Radiant VII, Republic Cruiser Transport",common,https://res.starwarsccg.org/youngjedi/cards/thejedicouncil/light/70radiant7republiccruiser.gif
3_137,"Droid Control Ship, Trade Federation Transport",uncommon,https://res.starwarsccg.org/youngjedi/cards/battleofnaboo/dark/137droidcontrolshiptradefed.gif
3_138,"Sith Infiltrator, Starfighter",uncommon,https://res.starwarsccg.org/youngjedi/cards/battleofnaboo/dark/138sithinfiltratorstarfight.gif
3_139,Droid Starfighter,common,https://res.starwarsccg.org/youngjedi/cards/battleofnaboo/dark/139droidstarfighter.gif
3_140,"Battleship, Trade Federation Transport",common,https://res.starwarsccg.org/youngjedi/cards/battleofnaboo/dark/140battleshiptradefederatio.gif
3_67,"Amidala's Starship, Royal Transport",rare,https://res.starwarsccg.org/youngjedi/cards/battleofnaboo/light/67amidalasstarshiproyaltran.gif
3_68,"Bravo 3, Naboo Starfighter",uncommon,https://res.starwarsccg.org/youngjedi/cards/battleofnaboo/light/68bravo3naboostarfighter.gif
3_69,Naboo Starfighter,common,https://res.starwarsccg.org/youngjedi/cards/battleofnaboo/light/69naboostarfighter.gif
3_70,"Republic Cruiser, Transport",common,https://res.starwarsccg.org/youngjedi/cards/battleofnaboo/light/70republiccruisertransport.gif
5_60,Droid Starfighter,common,https://res.starwarsccg.org/youngjedi/cards/duelofthefates/dark/droidstarfighter.gif
5_30,Naboo Starfighter,common,https://res.starwarsccg.org/youngjedi/cards/duelofthefates/light/naboostarfighter.gif
8_30,Amidala's Starship,rare,https://res.starwarsccg.org/youngjedi/cards/boontaevepodrace/light/30amidalasstarship.jpg
8_60,Viceroy's Battleship,rare,https://res.starwarsccg.org/youngjedi/cards/boontaevepodrace/dark/60viceroysbattleship.jpg
