gempId,title,rarity,imageUrl
1_107,Sith Lightsaber,rare,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/107sithlightsaber.gif
1_108,Aurra Sing's Blaster Rifle,rare,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/108aurrasingsblasterrifle.gif
1_109,Sebulba's Podracer,rare,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/109sebulbaspodracer.gif
1_110,Ben Quadinaros' Podracer,uncommon,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/110benquadinarospodracer.gif
1_111,Gasgano's Podracer,uncommon,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/111gasganospodracer.gif
1_112,Mawhonic's Podracer,uncommon,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/112mawhonicspodracer.gif
1_113,Teemto Pagalies' Podracer,uncommon,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/113teemtopagaliespodracer.gif
1_114,Trade Federation Tank Laser Cannon,uncommon,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/114tradefederationtanklaser.gif
1_115,Multi Troop Transport,uncommon,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/115multitrooptransport.gif
1_116,STAP,uncommon,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/116stap.gif
1_117,Tatooine Thunder Rifle,common,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/117tatooinethunderrifle.gif
1_118,Battle Droid Blaster Rifle,common,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/118battledroidblasterrifle.gif
1_119,Blaster,common,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/119blaster.gif
1_120,Blaster Rifle,common,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/dark/120blasterrifle.gif
1_34,Obi-Wan Kenobi's Lightsaber,rare,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/light/34obiwankenobislightsaber.gif
1_35,"Jedi Lightsaber, Constructed by Ki-Adi-Mundi",uncommon,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/light/35jedilightsaber.gif
1_36,Anakin Skywalker's Podracer,rare,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/light/36anakinskywalkerspodracer.gif
1_37,Captain Panaka's Blaster,common,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/light/37captainpanakasblaster.gif
1_38,Jar Jar Binks' Electropole,uncommon,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/light/38jarjarbinkselectropole.gif
1_39,Electropole,common,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/light/39electropole.gif
1_40,Eopie,common,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/light/40eopie.gif
1_41,Kaadu,common,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/light/41kaadu.gif
1_42,Flash Speeder,common,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/light/42flashspeeder.gif
1_43,Jawa Ion Blaster,common,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/light/43jawaionblaster.gif
1_44,Naboo Blaster,common,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/light/44nabooblaster.gif
1_45,Blaster,common,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/light/45blaster.gif
1_46,Blaster Rifle,common,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/light/46blasterrifle.gif
1_47,"Anakin Skywalker, Meet Obi-Wan Kenobi",uncommon,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/light/47anakinskywalkermeet.gif
1_48,Are You An Angel?,uncommon,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/light/48areyouanangel.gif
1_49,"Cha Skrunee Da Pat, Sleemo",common,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/light/49chaskruneedapatsleemo.gif
1_50,Counterparts,uncommon,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/light/50counterparts.gif
1_51,Da Beings Hereabouts Cawazy,common,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/light/51dabeingshereaboutscawazy.gif
1_52,Enough Of This Pretense,uncommon,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/light/52enoughofthispretense.gif
1_53,Fear Attracts The Fearful,uncommon,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/light/53fearattractsthefearful.gif
1_54,Gungan Curiosity,common,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/light/54gungancuriosity.gif
1_55,He Was Meant To Help You,uncommon,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/light/55hewasmeanttohelpyou.gif
1_56,I Have A Bad Feeling About This,uncommon,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/light/56ihaveabadfeelingaboutthis.gif
1_57,I've Been Trained In Defense,uncommon,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/light/57ivebeentrainedindefense.gif
1_58,Security Volunteers,common,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/light/58securityvolunteers.gif
1_59,Shmi's Pride,uncommon,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/light/59shmispride.gif
1_60,The Federation Has Gone Too Far,common,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/light/60thefederationhasgonetoo.gif
1_61,The Negotiations Were Short,common,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/light/61thenegotiationswereshort.gif
1_62,The Queen's Plan,common,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/light/62thequeensplan.gif
1_63,We're Not In Trouble Yet,uncommon,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/light/63werenotintroubleyet.gif
1_64,Yousa Guys Bombad!,rare,https://res.starwarsccg.org/youngjedi/cards/menaceofdarthmaul/light/64yousaguysbombad.gif
2_106,Darth Maul's Lightsaber,rare,https://res.starwarsccg.org/youngjedi/cards/thejedicouncil/dark/106darthmaulslightsaber.gif
2_107,Darth Maul's Sith Speeder,rare,https://res.starwarsccg.org/youngjedi/cards/thejedicouncil/dark/107darthmaulssithspeeder.gif
2_108,Clegg Holdfast's Podracer,uncommon,https://res.starwarsccg.org/youngjedi/cards/thejedicouncil/dark/108cleggholdfastspodracer.gif
2_109,Dud Bolt's Podracer,uncommon,https://res.starwarsccg.org/youngjedi/cards/thejedicouncil/dark/109dudboltspodracer.gif
2_110,Mars Guo's Podracer,uncommon,https://res.starwarsccg.org/youngjedi/cards/thejedicouncil/dark/110marsguospodracer.gif
2_111,Ody Mandrell's Podracer,uncommon,https://res.starwarsccg.org/youngjedi/cards/thejedicouncil/dark/111odymandrellspodracer.gif
2_112,Ratts Tyerell's Podracer,uncommon,https://res.starwarsccg.org/youngjedi/cards/thejedicouncil/dark/112rattstyerellspodracer.gif
2_113,Trade Federation Tank Laser Cannon,uncommon,https://res.starwarsccg.org/youngjedi/cards/thejedicouncil/dark/113tradefederationtanklaser.gif
2_114,Multi Troop Transport,uncommon,https://res.starwarsccg.org/youngjedi/cards/thejedicouncil/dark/114multitrooptransport.gif
2_115,STAP,uncommon,https://res.starwarsccg.org/youngjedi/cards/thejedicouncil/dark/115stap.gif
2_116,Thermal Detonator,uncommon,https://res.starwarsccg.org/youngjedi/cards/thejedicouncil/dark/116thermaldetonator.gif
2_117,Battle Droid Blaster Rifle,common,https://res.starwarsccg.org/youngjedi/cards/thejedicouncil/dark/117battledroidblasterrifle.gif
2_118,Blaster,common,https://res.starwarsccg.org/youngjedi/cards/thejedicouncil/dark/118blaster.gif
